endpoint_name,input_name,n,n_events,n_high_risk,pct_high_risk,estimate,se,pvalue,Q_het,pval_het,cohort,signif_het,n_female,n_male,n_total
Myocardial infarction,Age + sex + biomarkers,468563,2293,41424,0.088406468287082,0.98058153966678,0.048512497729595885,7.528286801655587e-91,0.700614548850852,0.7044715903549028,Meta-analysis,0,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,254969,1544,23232,0.09111695931662281,1.0109674338655397,0.06150434338902739,1.0336716971478146e-60,NA,NA,,NA,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,254969,1544,23232,0.09111695931662281,1.0109674338655397,0.06150434338902739,1.0336716971478146e-60,NA,NA,UK Biobank,NA,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,31395,304,3300,0.1051122790253225,0.9526968383790821,0.12331001839941436,1.1095293738880535e-14,NA,NA,THL Biobank,NA,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,182199,445,14892,0.08173480644789488,0.9151822754038011,0.10271464927070598,5.1056093960684035e-19,NA,NA,Estonian Biobank,NA,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,463729,1694,34968,0.07540611003409319,0.8779129633081325,0.059080226642203505,6.021665298707632e-50,2.3241290189906425,0.3128396532963274,Meta-analysis,0,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,257347,987,23487,0.09126587836656343,0.8835186499290756,0.07886788659103902,3.963216782177128e-29,NA,NA,,NA,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,257347,987,23487,0.09126587836656343,0.8835186499290756,0.07886788659103902,3.963216782177128e-29,NA,NA,UK Biobank,NA,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,31612,281,4498,0.1422877388333544,0.7249840836090186,0.13092319236010594,3.0686108515852775e-8,NA,NA,THL Biobank,NA,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,174770,426,6983,0.0399553699147451,0.9969385326734154,0.121818982863509,2.750989975473526e-16,NA,NA,Estonian Biobank,NA,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,479608,403,41833,0.08722331570782806,0.9277685205796232,0.1353724891324076,7.209009878139531e-12,3.4844127442826918,0.1751335642043089,Meta-analysis,0,283403,198275,481678
