"","endpoint_name","input_name","HR","HR low","HR high","estimate","se","pvalue","N","N_cases","N_male","N_female","formula"
"1","Myocardial infarction","Age + sex + metabolomics",2.41394800427346,2.24374143025731,2.59706617204443,0.881263583202879,0.0373055251732914,2.24380878641814e-123,230606,4040,103594,127012,"surv ~ Top10 + baseline_age + sex_male"
"2","Myocardial infarction","Age + sex + metabolomics + PGS",3.10881987565247,2.89983309975405,3.332868026119,1.13424319297253,0.0355051068598044,6.15610698627751e-224,230606,4040,103594,127012,"surv ~ Top10 + baseline_age + sex_male"
"3","Myocardial infarction","Age + sex + PGS",2.16758450325073,2.0017750056817,2.34712820641532,0.773613415418133,0.0406015947015914,6.11374633462041e-81,230606,4040,103594,127012,"surv ~ Top10 + baseline_age + sex_male"
"4","Ischemic stroke","Age + sex + metabolomics",2.07373934081353,1.89783613648452,2.2659463432937,0.729353422455555,0.0452240106271296,1.63319667746885e-58,232825,2986,106041,126784,"surv ~ Top10 + baseline_age + sex_male"
"5","Ischemic stroke","Age + sex + metabolomics + PGS",2.24499059848983,2.05670176088737,2.45051707697922,0.808701333430362,0.0446927146358279,3.5083916084683e-73,232825,2986,106041,126784,"surv ~ Top10 + baseline_age + sex_male"
"6","Ischemic stroke","Age + sex + PGS",1.42076508228538,1.27917742962853,1.57802457445452,0.351195516859585,0.0535603462285362,5.48987692637529e-11,232825,2986,106041,126784,"surv ~ Top10 + baseline_age + sex_male"
"7","Intracerebral hemorrhage","Age + sex + metabolomics",1.55072318124132,1.25646285232301,1.9138985131102,0.438721390664684,0.10735759056474,4.37848710408409e-05,236695,791,108200,128495,"surv ~ Top10 + baseline_age + sex_male"
"8","Intracerebral hemorrhage","Age + sex + metabolomics + PGS",1.63977866044551,1.33424706751133,2.01527447256664,0.49456126958478,0.105201087352428,2.58758471141021e-06,236695,791,108200,128495,"surv ~ Top10 + baseline_age + sex_male"
"9","Intracerebral hemorrhage","Age + sex + PGS",0.952882376302263,0.748977434278258,1.2122993050417,-0.0482638076019818,0.122848273528661,0.694413056836694,236695,791,108200,128495,"surv ~ Top10 + baseline_age + sex_male"
"10","Lung cancer","Age + sex + metabolomics",3.40600489985301,3.0733115946792,3.77471304826598,1.225540020834,0.0524409924864386,8.65334557456336e-121,236377,1950,108050,128327,"surv ~ Top10 + baseline_age + sex_male"
"11","Lung cancer","Age + sex + metabolomics + PGS",3.77555818065202,3.41529320757749,4.17382599650926,1.32854823419479,0.051165758226242,1.21295621579717e-148,236377,1950,108050,128327,"surv ~ Top10 + baseline_age + sex_male"
"12","Lung cancer","Age + sex + PGS",1.59469958849745,1.40792580930244,1.80625055720367,0.466685372727895,0.0635550044066947,2.08834570641013e-13,236377,1950,108050,128327,"surv ~ Top10 + baseline_age + sex_male"
"13","Type 2 diabetes","Age + sex + metabolomics",7.0928997484928,6.7533999160285,7.4494665602085,1.95909424825468,0.0250245810799088,0,225742,7062,101438,124304,"surv ~ Top10 + baseline_age + sex_male"
"14","Type 2 diabetes","Age + sex + metabolomics + PGS",7.53482405590406,7.17652866771455,7.91100770053926,2.01953548156086,0.0248569836093738,0,225742,7062,101438,124304,"surv ~ Top10 + baseline_age + sex_male"
"15","Type 2 diabetes","Age + sex + PGS",1.96589622215303,1.84778615990076,2.09155585215724,0.67594823404131,0.0316122356411508,1.94481956149114e-101,225742,7062,101438,124304,"surv ~ Top10 + baseline_age + sex_male"
"16","Chronic obstructive pulmonary disease","Age + sex + metabolomics",4.11066196721849,3.89293749048082,4.34056335352293,1.41358407812253,0.0277653400637995,0,231933,6227,105732,126201,"surv ~ Top10 + baseline_age + sex_male"
"17","Chronic obstructive pulmonary disease","Age + sex + metabolomics + PGS",4.40551210619676,4.17462326950065,4.64917087480514,1.48285650829426,0.0274655045474455,0,231933,6227,105732,126201,"surv ~ Top10 + baseline_age + sex_male"
"18","Chronic obstructive pulmonary disease","Age + sex + PGS",1.80150112322696,1.6835619448144,1.92770233788207,0.588620274701215,0.0345451635217366,4.20792207357711e-65,231933,6227,105732,126201,"surv ~ Top10 + baseline_age + sex_male"
"19","Alzheimer's disease","Age + sex + metabolomics",1.84334143979554,1.49627141487065,2.27091664647034,0.611579924575564,0.106430425727857,9.12236436804537e-09,236874,810,108122,128752,"surv ~ Top10 + baseline_age + sex_male"
"20","Alzheimer's disease","Age + sex + metabolomics + PGS",2.23078537973801,1.85329881912268,2.68515975896892,0.802353711691634,0.0945849566562191,2.1966973750787e-17,236874,810,108122,128752,"surv ~ Top10 + baseline_age + sex_male"
"21","Alzheimer's disease","Age + sex + PGS",1.69862190430163,1.4055284032788,2.05283391430758,0.529817277783764,0.0966346724277592,4.18923236176922e-08,236874,810,108122,128752,"surv ~ Top10 + baseline_age + sex_male"
"22","Vascular and other dementia","Age + sex + metabolomics",2.31388971237519,2.02864515614305,2.63924205020417,0.838929966605061,0.0671233709877797,7.62370302807625e-36,239622,1392,109598,130024,"surv ~ Top10 + baseline_age + sex_male"
"23","Vascular and other dementia","Age + sex + metabolomics + PGS",NA,NA,NA,NA,0,NA,239622,1392,109598,130024,"surv ~ Top10 + baseline_age + sex_male"
"24","Vascular and other dementia","Age + sex + PGS",NA,NA,NA,NA,0,NA,239622,1392,109598,130024,"surv ~ Top10 + baseline_age + sex_male"
"25","Depressive disorders","Age + sex + metabolomics",2.06883397397885,1.94198604180215,2.20396744351327,0.726985150970826,0.0322826370739985,2.68059127938184e-112,216127,6951,101003,115124,"surv ~ Top10 + baseline_age + sex_male"
"26","Depressive disorders","Age + sex + metabolomics + PGS",2.01350408916449,1.88929305454836,2.14588134292976,0.699876532181156,0.0324866419869746,6.09023895395646e-103,216127,6951,101003,115124,"surv ~ Top10 + baseline_age + sex_male"
"27","Depressive disorders","Age + sex + PGS",1.35463002290621,1.26310172031098,1.45279075267753,0.303528371222188,0.0356928532908373,1.83329181528298e-17,216127,6951,101003,115124,"surv ~ Top10 + baseline_age + sex_male"
"28","Alcoholic liver disease","Age + sex + metabolomics",17.6385781615966,14.5697994097071,21.3537215450935,2.87008844424595,0.0975191793284908,2.20306528514089e-190,239202,447,109244,129958,"surv ~ Top10 + baseline_age + sex_male"
"29","Alcoholic liver disease","Age + sex + metabolomics + PGS",NA,NA,NA,NA,0,NA,239202,447,109244,129958,"surv ~ Top10 + baseline_age + sex_male"
"30","Alcoholic liver disease","Age + sex + PGS",NA,NA,NA,NA,0,NA,239202,447,109244,129958,"surv ~ Top10 + baseline_age + sex_male"
"31","Cirrhosis of the liver","Age + sex + metabolomics",8.88180519588107,7.54096663820554,10.4610545732837,2.18400482416835,0.0834971678632962,8.28344216543087e-151,236247,589,108063,128184,"surv ~ Top10 + baseline_age + sex_male"
