cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,1,0.012470180340909891,0,0,0,0,3116,0,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,2,0.022577417763204807,0.032092426187418865,0.01791435909750016,-0.003019072449798904,0.06720392482463663,3116,1,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,3,0.03613035132004969,0.032092426187420024,0.017914359097500242,-0.003019072449797905,0.06720392482463795,3116,1,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,4,0.056094699757474976,0.06418485237483693,0.025330662700725023,0.014537665776883792,0.11383203897279007,3116,2,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,5,0.08628998660121583,0.16046213093709777,0.04003199720806455,0.08200085818008326,0.23892340369411227,3116,5,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,6,0.13161689598755838,0.2567394094993589,0.050612495196947035,0.1575407417456363,0.3559380772530816,3116,8,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,7,0.20173451684082472,0.4813863928112943,0.06922592422362807,0.3457060745364844,0.6170667110861042,3116,15,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,8,0.3156665290993844,0.7704654895666135,0.08745140550330714,0.5990638843827237,0.9418670947505033,3115,24,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,9,0.536211077300589,1.3483146067415708,0.11534999916504242,1.1222327627613624,1.5743964507217791,3115,42,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
"THL Biobank, pooled",Ischemic stroke,Age + sex + biomarkers,10,1.5455788135873425,3.3707865168539226,0.18050513770809132,3.017002947921621,3.7245700857862243,3115,105,31157,203,0.2943884495854257,0.6515389800045395,3,243663,171929,415592
